ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330146,-0.310913,-0.439094,-0.398191,0.207496,0.385882,0.09238,0.114303,-0.385401,0.263049,-0.187752,-0.831956,1.206034,-0.577291,0.26926,0.05255,-0.3271,0.05334
9330147.01,-0.751356,0.323694,-0.639214,1.703218,-0.52259,-0.201258,1.617657,0.223659,2.086279,-1.890147,-0.995477,-1.58208,-0.846211,-0.08544,2.29022,-1.18981,-0.97136
9330147.04,-0.799278,-1.228833,-0.430553,0.918577,0.363725,-0.93062,0.563218,0.850901,1.315227,-0.662489,0.377771,1.206034,-0.945545,0.42589,0.5074,0.26699,-0.55366
9330147.05,-0.934457,0.666349,-0.449619,1.911638,0.208619,-0.811053,1.53789,0.760903,2.051904,-1.75119,-0.485097,0.015749,-0.930285,0.72159,1.81216,-0.60271,-0.73665
9330147.07,-1.362687,-0.480668,0.417185,3.28476,0.917671,-0.794337,2.543951,1.092811,3.429381,-3.002661,0.065796,-0.942383,-0.858197,0.51585,3.33155,-0.37647,-1.01456
9330147.08,-1.095303,1.493931,0.399275,1.862598,0.585303,-1.058761,2.908299,1.068869,1.999295,-2.448493,0.195146,2.659672,-0.86916,1.25124,2.16511,0.36222,-0.04321
9330147.09,-0.85188,-0.154947,-0.205666,0.808237,0.252935,-0.980015,1.217073,0.792489,0.936521,-0.98179,0.76736,1.336163,-0.984377,0.41926,0.79022,0.52045,-0.61089
9330147.1,-0.894006,0.550509,-0.578434,0.330096,0.762566,-0.865095,0.558748,1.188479,0.923089,-0.251089,0.406771,-0.132781,-0.984377,0.94926,0.22538,-0.19716,-0.89599
9330148,-1.137025,0.931669,0.494299,2.549159,1.183566,-0.474308,2.523094,0.675487,1.852956,-2.582163,0.369928,-1.042516,-0.532161,0.51699,2.76765,-0.13805,-0.8654
9330149.02,0.573629,0.323851,-0.869179,-0.331945,-0.611222,0.425707,0.540708,-0.448402,0.712418,-0.082497,-0.895074,-0.944452,-0.828721,-0.3335,0.58314,-1.24019,-0.37143
