ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330504.08,0.468782,-0.672094,-1.403364,0.03111,0.045952,-0.637834,-0.703941,-0.674919,-0.574271,0.913376,0.044454,-1.419096,0,0,,,,
9330504.09,0.634855,-0.911897,-1.179695,0.029834,0.040192,0.072111,-0.424078,-0.675135,-0.488031,0.880068,-1.067364,0,-0.326293,-1.027889,,,,
9330504.1,-0.483635,-0.382717,-1.086601,0.044936,0.048725,-0.960671,-0.784868,0.165745,-0.659012,1.058783,0.521781,-0.350929,0,0,,,,
9330504.11,0.292456,-0.821977,-0.600519,0.041745,0.039979,-0.249682,-0.304776,-0.009685,-0.479738,0.323859,-0.791269,-1.570609,-0.13578,-0.701408,-0.54712,-1.06018,-0.07442,-0.57671
9330504.12,0.396367,0.003119,-0.926111,0.039831,0.038912,-0.221867,0.435979,-0.441612,-0.341878,-0.502943,-0.971975,0,-0.325239,-0.997846,,,,
9330504.13,-0.089542,-0.967116,-0.753981,0.039831,0.040832,-0.898315,-0.426672,-0.017679,-0.534065,0.444077,1.781465,0,0,0,,,,
9330505.01,0.361801,-0.945723,-0.727363,0.028345,0.038486,-0.253464,0,-0.372806,-0.718361,1.501161,0.025657,-1.497264,-0.100174,-0.322485,,,,
9330505.02,0.852683,-0.946414,-0.224933,0.03345,0.039979,0.248286,-0.79173,-0.624187,-0.551833,0.389092,-0.678545,-0.389307,0.080789,-0.199319,-0.77034,-0.46916,-0.5338,0.09319
9330506.01,-0.566887,1.081344,-0.589506,0.045786,0.048725,-0.965548,-0.883825,1.040186,-0.582528,1.278096,0.183598,-0.424178,0,-0.797123,0.63257,-0.14765,-1.37453,-1.08839
9330506.02,-0.393661,1.03499,-0.42345,0.040894,0.051925,-0.743532,-0.969636,0.309595,-0.471973,0.982705,0.229729,0.521561,-0.04497,-0.849239,0.47806,0.0915,-1.35794,-0.88414
