ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150110,1.062769,0,-0.560683,-0.245997,-0.021793,-1.073474,-0.545471,0.04119,0,0,1.947865,,,
59150111,-1.483515,0.174982,-1.169029,-1.047355,-0.022439,-0.758629,0,-0.114946,0,0,-0.116214,,,
59150112,-1.483515,-0.968821,0.073735,-0.800783,-0.026121,-0.767077,-0.70357,0.768028,-0.450061,0,1.160014,-0.97549,-0.39811,0.41906
59150113,-1.483518,-1.018909,0.490887,-0.276818,-0.026072,0.57341,-0.567668,-0.025725,-0.999653,0,0.493438,-0.16859,-0.62319,-0.30099
59150114,-1.483515,-1.031495,-0.638899,-0.646676,-0.02224,-0.29847,-0.567017,-0.066904,0,0,0.477209,,,
59150115,-1.483481,0,-1.029978,-1.355569,-0.026022,-0.837603,0,-0.661421,0,0,0.860538,,,
59150116,-1.483506,-0.787762,-0.960453,-0.723729,-0.022041,-0.395345,0,-0.066904,0,0,0.700817,,,
59150117,-1.483512,0,-1.31677,-0.30764,-0.026171,-0.987363,0,-0.239854,2.356894,0,2.756043,,,
59150118,-1.483512,0,-0.308654,-0.369283,-0.025972,-0.656164,-0.69647,-0.801943,0,0,1.506848,,,
59150119,1.313257,-0.679365,0.082426,0.416664,-0.02234,-0.464542,-0.529471,0.073869,-0.964793,0,-0.47607,-0.35381,-0.603,-1.31699
59150120,-1.483515,-1.19967,0.065045,-0.507979,-0.026072,-0.395345,-0.697739,-0.114946,-0.739262,0,0.2536,-0.66282,-0.75383,-0.30176
59150121,-1.483515,0,-0.2652,-0.276818,-0.026121,-0.34847,-0.556752,-0.386486,0,0,0.640383,,,
59150122,-1.483512,-1.091035,0.238858,-0.831605,-0.022191,0.089033,-0.554582,0.04119,0,0,0.189712,,,
59150123,-1.483515,-0.692109,-0.430323,-0.615854,-0.022141,0.011532,-0.565038,-0.520898,-0.658517,0,-0.603566,-0.55557,-0.73949,-0.52971
59150124,-1.483509,0,-0.326035,-0.631265,-0.021743,-0.837603,-0.560972,-0.283092,0,0,2.327969,,,
59150125,-1.483492,-0.679365,-0.769258,-0.847015,-0.026171,0.556708,-0.535609,-0.661421,0,0,0.053529,,,
59150126,-1.483498,-1.312549,-0.39556,-0.93948,-0.026171,-0.767077,0,-0.801943,-0.817124,0,2.028493,,,
59150127,-1.483504,-1.137392,-0.743186,-0.924069,-0.026072,-0.971115,-0.645806,-0.702751,-0.744541,0,0.084946,-1.05185,-1.12839,-0.36123
59150129,-1.483495,0,-1.029978,-1.078176,-0.026022,-1.098474,-0.558882,-0.661421,-0.061405,0,1.770944,,,
59150130,-1.483444,0,0,-1.340159,-0.021693,-0.767077,-0.614523,-0.386486,-0.303235,0,0.77908,,,
