,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,SoRI
933004701,-0.361465,-1.40593,1.529924,0.415758,-1.094038,0.370068,-0.261276,-0.648802,-0.832843,1.545523,-0.139649,0.801533,-0.89533,1.24423,0.5012,0.111779
933004702,-0.549331,-1.00703,2.055862,-0.23737,-1.423307,-0.492042,-0.532086,-0.569479,-0.907123,1.675008,1.249258,0.365791,-1.31666,1.8614,-0.00647,0.072381
933004800,-0.278514,-0.264601,1.265938,0.194847,-1.321993,-0.129348,-0.666809,-0.467516,-0.869129,2.15237,0.462593,-0.08788,-1.10561,1.51386,-0.03485,0.074591
933004901,0.080395,-0.285612,0.4654,-0.170136,-1.549949,-0.476764,-0.31082,-0.981881,-0.801593,1.286979,0.622482,-0.359867,-1.1038,0.83169,-0.1733,0.294613
933004902,0.030828,0.072614,0.805053,-0.47749,-0.764769,-0.150047,-0.841017,0.258572,-0.881513,1.290128,2.924739,-1.046173,-1.19466,1.64576,-0.3612,0.041882
933005002,-1.230048,1.217795,2.150028,1.693199,1.008217,-0.725857,-0.100187,2.417183,0.204474,1.547988,2.233268,0.295328,0.63353,2.40663,-0.35848,-1.217156
933005003,-0.987589,-0.514337,1.558487,1.155329,-0.359515,-1.098671,0.000685,1.215762,-0.494394,2.107482,2.204861,-0.176548,-0.55005,2.26808,-0.69143,-0.560681
933005004,-1.143379,-0.436662,1.69571,1.990948,0.982888,-1.226143,0.768015,1.950855,0.17219,1.740787,1.670089,-0.293402,0.48009,1.87986,-0.9097,-1.01133
933005100,-0.466061,0.797284,0.216703,0.386944,1.185515,0.075984,-0.408964,0.390466,1.900209,-0.29455,0.822533,1.629156,1.15404,0.28495,0.79701,-0.640468
933005201,-0.742543,0.835743,0.650075,0.867185,2.325292,0.331363,0.065178,2.129277,1.679941,0.047724,0.477833,0.91243,1.60639,0.49279,0.27314,-1.015944
933005202,-0.446072,0.070772,0.26551,0.098799,0.982888,0.257647,0.091428,0.956731,2.470484,-0.632336,-1.164571,0.547716,1.42188,-0.75748,0.26157,-0.483965
933005301,-0.321254,0.205073,0.053333,0.108404,1.388142,0.058537,-0.415077,-0.02591,1.848865,-0.793461,0.461039,1.924988,1.08312,-0.09876,0.88535,-0.4594
933005302,-0.288335,0.080626,0.108631,0.588645,0.65362,0.196855,-0.648404,-0.286189,1.145412,-0.486927,1.183646,2.339822,0.63141,0.50685,1.24252,-0.383978
933005401,-0.337437,-0.393878,0.644681,0.310105,0.197709,0.127775,-0.829647,0.724677,1.127006,-0.285358,1.085219,2.971508,0.38474,1.00589,1.40639,-0.404448
933005402,-0.253469,0.661655,-0.280327,-0.141321,1.008217,0.078255,-0.581662,-0.349866,1.703093,-0.546333,0.595397,1.956429,0.87056,-0.03511,0.95997,-0.357493
933005501,-0.953304,1.497127,1.564622,1.39545,2.04668,-0.417702,-0.328734,2.89417,1.295158,-0.229434,1.146184,1.021371,1.56758,1.21035,0.05273,-1.267172
933005502,-0.922187,1.309005,1.298311,1.270587,0.425664,-0.803555,-0.574408,1.349913,0.53845,0.99648,1.559129,0.680273,0.49288,1.6725,-0.08541,-0.856683
933005601,-1.178883,2.713402,2.581246,2.701705,1.970695,-0.90549,-0.224425,3.557514,0.234194,1.495903,2.086122,0.415236,1.40702,2.71923,-0.37649,-1.748707
933005602,-0.741236,0.555237,1.8804,1.011257,-0.4355,-0.282963,-0.776138,2.067308,-0.422911,1.976429,2.460276,1.462852,-0.37241,2.90776,0.48368,-0.750766
933005701,-1.448538,2.690202,3.207859,4.228871,5.972577,2.296318,0.104495,2.596588,5.965412,1.597286,0.528903,0.405005,5.07914,0.89078,1.28176,-2.935703
933005702,-1.114179,1.671922,2.061449,2.548028,2.730546,-0.378473,0.018866,1.483702,4.29711,1.308751,1.623196,1.752453,2.88574,1.41971,0.84069,-1.971878
933005800,-1.711016,4.886208,3.175029,5.295006,3.920979,-0.735996,0.069687,1.731541,1.718716,2.928312,1.333093,0.533176,3.23939,2.7526,-0.01137,-2.718734
933005903,0.58234,-0.741571,0.36078,0.242871,-1.473963,0.903167,0.18328,-0.466539,-0.417565,0.298342,-0.700996,-0.943471,-0.4598,-0.21398,0.27416,0.354441
933005904,-0.47716,0.035691,1.330363,1.11691,-1.625934,-0.658497,-0.167751,-1.227254,-0.572447,2.021479,-0.421705,-0.772678,-0.6857,0.97918,-0.44657,-0.014001
933005905,-0.439912,-0.440717,0.943203,0.713507,-0.764769,-0.349754,0.362752,-0.86213,-0.188499,-0.052078,-0.421989,-0.776266,-0.07264,-0.0568,-0.39783,0.015869
933005906,-1.563187,4.064495,2.945017,4.82437,2.375949,-0.977221,-0.75292,-1.387037,0.348676,2.306597,1.214503,2.552278,1.97978,2.77659,0.97773,-1.932989
933006001,-0.401328,-0.844197,2.713846,0.934418,-0.638127,-0.3474,0.117117,-1.318133,-0.741575,1.331513,0.416197,0.56838,-0.505,1.51519,0.30926,-0.215574
933006002,-0.850277,-0.040223,2.42273,1.37624,-0.992724,-0.66728,-0.139112,-1.261048,-0.630413,3.237811,0.752899,-0.199779,-0.72735,2.19501,-0.23435,-0.388977
933006100,-0.870761,0.239686,2.864986,1.001652,-0.663456,-0.520719,0.612157,-0.906761,-0.753432,2.252025,0.032196,0.569574,-0.26722,1.89169,0.09605,-0.498663
933006200,-0.652475,0.813664,2.06947,0.310105,0.02041,-0.563685,-0.303357,-2.574842,-0.758971,2.163647,1.185647,0.750924,-0.57035,1.78314,0.26391,-0.277652
933006300,-0.838568,-0.881537,2.091744,1.318611,-0.486157,-0.717249,-0.10897,-0.558499,-0.948679,2.142016,1.051887,0.662166,-0.71134,2.07345,-0.05085,-0.335626
933006400,-1.040439,-0.844197,2.886488,1.549127,-1.018053,-0.973322,0.434782,0.119137,-0.630687,2.770519,-0.673283,0.389405,-0.46277,2.01669,-0.35933,-0.485026
933006500,-0.939475,0.759648,2.499272,1.453078,-0.866083,-0.686462,0.260434,-0.732806,-0.552571,2.454884,0.511038,0.362473,-0.2139,2.04928,0.00147,-0.592563
933006600,0.057559,0.02156,1.1131,0.550226,-1.37265,0.59522,1.514847,-1.216372,-0.0239,0.194703,-1.554721,-0.792131,0.3133,-0.46948,0.24351,0.018344
933006700,-0.463708,0.242096,2.235641,1.472288,-0.967396,0.748604,0.311274,-0.257093,-0.344926,1.863006,-0.182316,-0.448329,-0.0001,1.2957,0.34534,-0.410745
933006800,-0.60715,0.325274,2.560531,0.473387,-0.992724,0.194867,0.469401,-1.608532,-0.818658,2.018128,-0.333456,1.09204,-0.39544,1.59533,0.72435,-0.257754
933006900,-0.046718,1.11848,1.432494,1.981344,-1.144695,1.502289,2.451181,-0.518075,-0.04791,-0.553493,-1.071288,-0.241814,1.36327,-0.28681,1.0657,-0.527283
933010001,-0.172669,-0.642544,0.67347,-0.266184,-0.232873,0.831991,-0.122187,1.152217,-0.681336,0.238636,0.398809,1.396697,-0.36615,0.95627,0.79597,-0.044726
933010002,-0.202508,0.109852,0.597503,-0.23737,-0.562142,0.163677,-0.356815,0.412332,-0.842583,0.288138,0.865649,0.562135,-0.5632,0.9395,0.27596,0.01175
933010102,-0.555839,-0.398684,0.700587,0.473387,-0.232873,-0.600642,0.551445,0.944142,-0.615128,1.493637,0.122944,-0.644854,-0.34673,0.93279,-0.78691,-0.219713
933010103,-0.836709,-0.247597,1.586299,0.175638,0.501649,-0.95038,0.801224,0.703332,-0.705702,1.250221,0.061436,-0.57521,-0.16265,1.02692,-1.00476,-0.376324
933010104,-0.874625,-1.237035,1.634792,0.886394,0.881575,-0.893718,0.884437,1.454356,-0.540195,2.282518,-0.295168,-0.624638,-0.13463,1.33837,-1.15313,-0.515555
933010200,-0.124991,-0.677654,-0.151203,-0.131717,-0.486157,0.044105,0.014404,2.117653,-0.495801,0.511847,1.916237,0.233093,-0.55318,1.17439,-0.03133,-0.108499
933010300,-0.553224,-0.01923,0.51558,-0.054878,-0.156888,-0.220964,-0.141576,1.519557,-0.782595,1.340639,1.155495,0.561995,-0.56113,1.53776,-0.13875,-0.241639
933010400,0.225058,-0.839688,0.100676,-0.583143,-0.638127,0.907261,-0.175399,0.372732,-0.467685,-0.455149,-0.116201,0.96028,-0.42446,0.1162,0.7908,0.277226
933011001,1.007785,-1.082017,-0.600618,-1.01536,-1.347322,1.078947,-0.96143,-0.258752,-0.845135,0.260521,0.298414,-0.240961,-1.28458,0.03823,0.55202,0.746778
933011002,1.058369,-0.405559,-1.120005,-1.332319,-1.094038,1.122778,-0.785859,-0.347159,-0.803302,-0.111051,-1.023623,0.255209,-0.96623,-0.57149,0.67697,0.797985
933011101,0.098409,-0.000973,-0.415903,-0.659982,-0.638127,0.257578,-0.511177,0.876034,-0.75967,-0.442373,-0.106434,-0.761727,-0.59296,-0.16186,-0.36391,0.339398
933011102,0.99442,-0.206357,-0.968918,-1.005755,-0.866083,0.794428,-0.651785,-0.719376,-0.827487,-0.199164,-0.126201,-0.565891,-0.89862,-0.50454,0.28178,0.694903
933011103,-0.078184,0.280084,-0.623167,-0.266184,-0.486157,-0.439853,-0.788743,0.535899,-0.92817,-0.212149,0.927422,-0.48483,-0.72618,0.30179,-0.51807,0.234704
933011200,-0.134695,-1.049254,-0.591454,-1.024965,0.121724,0.487841,-1.034181,-0.376629,-0.888859,0.292136,-0.165648,1.569218,-0.95769,0.31814,0.54308,0.470837
933011300,0.052009,0.378762,0.208869,-0.170136,-0.232873,0.328495,0.33197,0.015468,-0.551182,0.898711,-0.186076,0.3757,-0.20121,0.49332,0.28183,-0.030399
933011400,0.753849,-0.966494,-1.063904,-1.072989,-1.043381,0.729196,-0.612855,-0.382257,-0.741699,-0.311951,-0.328033,0.111233,-0.99421,-0.45893,0.40722,0.744868
933011500,0.133885,-0.159029,-0.815165,-0.362232,-0.587471,0.646692,0.278966,-0.048783,-0.655773,0.102377,-0.221278,-0.148969,-0.38215,-0.21615,0.14831,0.299171
933011600,1.280548,-0.101573,-0.636567,-0.804054,-1.119366,1.646279,-0.494126,-0.764082,-0.810371,-0.742912,-0.095348,0.633088,-0.62267,-0.3915,1.37563,0.624672
933011700,1.299027,-0.580241,-0.781586,-0.928916,-0.992724,1.272216,-0.68297,-0.826463,-0.935922,-0.343972,-0.782513,1.683944,-0.82872,-0.25492,1.52891,0.706366
933011800,0.086845,-0.142789,-0.169157,0.031565,-0.638127,0.000145,0.827833,0.07116,-0.665953,1.038793,-0.907231,0.76211,-0.25786,0.32198,0.25151,0.056459
933011900,0.871868,-0.237805,-1.030205,-0.842473,-0.866083,0.931632,-0.980681,-0.079519,-0.683827,0.271147,-0.046627,2.172414,-0.83355,0.36785,1.44709,0.484538
933012000,1.823024,-0.271212,-0.938033,-0.71761,-1.22068,1.366325,-0.107768,-1.41162,-0.874433,-0.203519,-0.126842,1.257685,-0.71324,-0.29681,1.70367,0.676999
933012100,1.694458,-0.442952,-0.962195,-1.313109,-1.06871,1.572827,-0.347767,-1.183632,-0.893463,-0.528895,-0.186076,3.063066,-0.76592,-0.03838,2.44192,0.696726
933012200,1.445026,0.199165,-1.151145,-0.688796,-1.06871,1.36627,-0.825746,-0.751309,-0.812758,-0.853826,0.175342,-0.227632,-0.69294,-0.63376,0.92082,0.697227
933013001,0.079349,-0.839042,0.885829,0.223662,0.02041,1.535736,-0.517823,0.265111,-0.556129,1.414363,-0.565234,0.091534,-0.42785,0.70118,0.60677,0.056552
933013003,-0.342173,0.278495,0.859171,0.329315,0.324351,0.781394,-0.015706,0.755928,-0.888768,1.536924,0.0749,0.274738,-0.21606,1.15935,0.24215,-0.257147
933013004,-1.09509,3.655479,2.142914,-1.956632,1.616098,-2.385196,0.97874,4.6413,-0.561715,2.376868,1.365792,-0.391519,0.22913,2.6234,-1.92851,-1.242996
933013100,1.622607,-0.824618,-0.689392,-0.515909,-1.195351,2.409507,-0.595158,-0.45137,-0.649234,0.271147,-0.114192,1.983494,-0.71014,0.19986,2.34459,0.573273
933013200,7.217945,-0.148069,-1.209803,-0.948126,-1.853889,4.833077,-0.728492,-0.617734,-1.005741,-0.56247,-0.305369,1.746278,-0.71896,-0.77655,4.99928,1.205375
933013301,2.333715,-0.318799,-0.883308,-1.149827,-1.397978,2.699669,-0.989434,-0.746357,-1.005741,-0.679402,-0.539054,0.656096,-0.90027,-0.61504,2.06889,0.928841
933013302,5.266298,-1.385688,-1.216895,-0.71761,-1.701919,3.471111,-0.35531,-1.866522,-0.924389,-0.858903,-0.715985,-0.227442,-0.90649,-1.51054,2.98761,1.342303
933013400,2.810353,-1.339112,-0.894061,0.050775,-1.448635,3.868496,0.800562,-0.981881,-0.675984,-0.456912,-0.625178,0.521584,-0.21074,-0.90843,2.80525,0.734991
933013500,2.012169,0.678834,-1.015269,-0.73682,-1.246008,3.048833,-0.469472,-0.848894,-0.370873,-0.558214,1.07033,1.912791,-0.27674,0.02332,2.94673,0.46389
933014002,0.276891,0.124143,-1.044074,-0.669586,-0.891411,-0.163872,-0.931136,-0.638905,-0.570225,0.046574,-1.28803,-0.896213,-0.78911,-0.73854,-0.53805,0.626868
933014003,-0.272994,0.073502,1.020495,0.348524,0.375008,0.327871,0.929825,-0.24015,-0.254332,-0.509051,0.199786,-0.088189,0.44135,0.07632,0.14763,-0.25077
933014004,0.065752,-1.21689,-0.724276,-0.506304,-0.384844,-0.272338,-0.458531,-1.162437,-0.001884,-0.94976,-0.001355,-0.858045,-0.5366,-0.90824,-0.48646,0.553657
933014100,0.053927,-0.468463,0.118532,-0.391047,-0.663456,-0.012019,-0.299127,0.559327,-0.376284,0.670605,-1.11462,-0.943993,-0.56621,-0.07891,-0.5758,0.27302
