FAC_1,FAC_2,FAC_3,SoRI
0.23608,-0.80845,-0.14723,0.052193
0.47607,0.08984,0.83166,-0.190588
1.60113,-1.31619,-0.1855,-0.572023
1.25591,-0.98078,-0.17697,-0.46469
3.0154,0.36836,-0.25743,-1.760545
1.28762,-1.61053,-0.07813,-0.317847
1.26601,-0.71545,0.30565,-0.482194
1.20296,-0.58932,0.91069,-0.412608
2.7742,-1.34931,0.06593,-1.175641
0.86694,0.74479,-0.1207,-0.666822
1.4346,-0.25036,0.03522,-0.716768
0.59196,-0.22771,0.3775,-0.225905
1.55322,-0.27489,0.13558,-0.76448
0.60602,-0.25448,0.08151,-0.259309
1.33091,-0.42804,0.45896,-0.570825
-0.02725,0.17051,1.05893,0.08875
1.08513,0.19746,0.85126,-0.546473
3.33442,-0.70367,1.47989,-1.48394
1.724,-1.03208,0.5336,-0.629761
1.61303,-0.2062,1.08152,-0.710683
1.13981,-0.1657,0.60767,-0.514385
1.97827,-0.94762,0.69504,-0.771257
1.81268,-0.06226,0.50701,-0.917124
1.3748,-0.80129,0.49058,-0.500404
2.25511,-1.60533,0.61657,-0.77048
2.88324,-0.13009,0.37966,-1.497729
2.97552,-0.66784,0.32659,-1.422846
2.52694,-1.43208,0.47443,-0.976253
1.29148,-0.02688,0.98012,-0.59022
0.02507,-0.74441,0.051,0.173165
-0.01019,0.71286,1.09593,-0.048574
0.13778,-0.13189,-0.13468,-0.057627
1.2575,-0.57255,0.82009,-0.45628
1.99669,-0.09017,0.92869,-0.964613
1.63749,-0.83902,0.30867,-0.654158
-0.23437,0.1987,0.59463,0.144116
2.45309,-0.0633,1.43161,-1.164984
0.72772,1.10004,0.52921,-0.606638
0.71403,0.63062,0.44892,-0.493627
0.44114,-0.54799,0.08142,-0.098023
1.07152,-0.87776,1.14498,-0.245227
0.23285,0.8492,-0.13769,-0.348645
0.86191,0.65259,1.06738,-0.51213
1.17721,-0.91976,0.75827,-0.334731
0.46535,-0.95374,-0.08052,-0.030064
1.4398,0.50133,0.15171,-0.889941
2.63483,-0.90942,0.84924,-1.121444
1.42828,-1.18474,-0.0238,-0.492237
0.16962,-0.45373,-0.3187,-0.016664
1.98432,-0.89198,-0.24267,-0.890311
2.52706,-0.4459,0.3651,-1.22837
2.55368,-0.6316,0.42833,-1.190762
1.6559,-0.51547,1.02853,-0.664508
1.23404,-0.92552,0.72569,-0.367841
1.18883,-1.09811,0.34686,-0.342477
2.95053,-1.36939,0.43928,-1.226121
2.73153,-0.41455,0.22806,-1.362336
0.75615,-0.9044,0.04392,-0.186942
0.82147,-0.5738,0.07789,-0.299327
1.87119,-0.9818,0.11954,-0.767326
1.55979,0.14292,-0.2413,-0.910876
0.61432,0.768,0.20191,-0.499681
0.24805,0.29835,1.27709,-0.068583
-0.10372,-0.10745,0.34827,0.120632
0.77405,0.14602,0.54799,-0.397527
1.48812,-1.14068,0.81249,-0.444411
0.89705,0.24378,0.46074,-0.497853
1.42794,-1.10464,0.6682,-0.436128
0.7171,-0.26723,-0.00069,-0.325681
0.46754,-1.28279,0.17791,0.077036
0.62526,-0.1473,1.06519,-0.188668
0.03045,-0.75296,0.01429,0.168314
0.89934,-0.6555,-0.17283,-0.349185
1.32529,-0.67668,0.93561,-0.455265
2.1371,-0.86119,-0.04406,-0.959395
1.10138,-0.86945,-0.26968,-0.417716
0.509,-0.34982,-0.23356,-0.21758
0.87459,0.00659,0.60327,-0.412325
1.02021,0.0013,0.42585,-0.509709
0.83014,-0.61514,-0.02414,-0.305105
2.07515,-1.36365,0.58295,-0.734951
2.55657,-0.93113,0.25159,-1.138666
2.52294,-0.74039,0.39865,-1.15076
1.6375,-0.87319,0.07393,-0.67143
1.70437,-0.11292,-0.24,-0.927205
0.85446,-1.20922,0.36413,-0.131375
1.97471,-1.02864,0.57315,-0.762875
0.65212,-0.40189,-0.19602,-0.278781
0.57075,-0.06082,-0.29609,-0.328409
1.27684,-0.0004,0.92933,-0.594228
1.82561,-0.35748,0.25716,-0.879516
0.90585,-0.41117,0.40399,-0.349352
0.9737,-0.19461,0.29661,-0.450754
1.10723,0.32999,1.33039,-0.538559
1.37493,-1.06569,0.07591,-0.481292
1.08083,-0.4409,0.47569,-0.429627
1.50328,-0.74099,0.58515,-0.574775
1.06263,-0.7685,0.17571,-0.372639
1.18274,-0.29436,0.81136,-0.484242
-1.06965,-0.04614,-0.69188,0.518565
0.68127,0.46266,1.27182,-0.345185
1.23981,1.4333,0.05734,-1.018207
0.43236,0.733,0.74012,-0.333362
-0.43193,0.72866,-0.09935,0.047058
1.07112,1.61276,0.32569,-0.940753
1.54638,0.21816,0.54154,-0.836562
0.5258,3.60489,-0.38991,-1.206747
1.33087,1.84505,-0.76527,-1.257742
1.02075,0.35802,-0.35673,-0.682166
2.50919,0.87247,-0.95668,-1.683731
1.03623,2.13202,-0.99001,-1.191596
0.79065,1.78756,-0.56792,-0.92792
0.59863,2.11386,-0.96753,-0.946319
0.90036,1.52508,-0.62469,-0.929964
-0.31361,1.5127,-0.80715,-0.285467
-0.18515,-0.32826,1.41767,0.335327
1.24497,-0.55714,0.53564,-0.484211
0.26778,-0.75804,1.42383,0.193894
-0.37021,-0.10212,1.69049,0.41082
0.23796,-0.29132,2.44986,0.208331
0.38853,-0.11328,2.31844,0.068622
0.6001,-1.1954,2.71307,0.25987
0.979,0.44217,2.16062,-0.40552
0.40457,-0.43083,4.65248,0.391618
0.18981,-0.64862,2.23054,0.297659
1.30902,-1.95323,1.73978,-0.047907
0.03486,-1.30714,2.65907,0.589135
0.89693,-0.76213,1.71662,-0.115957
0.41118,-0.77995,2.2662,0.212923
0.44271,-0.34888,1.66227,0.024951
-0.4807,-0.33788,1.92898,0.554418
0.86728,0.855,0.26523,-0.651777
1.24413,-0.55231,1.15562,-0.417352
0.08596,-0.19652,0.97756,0.107576
-0.14669,-0.40336,0.52824,0.235713
0.74976,0.32616,1.13186,-0.364516
0.3145,0.58526,0.49964,-0.25939
0.71403,0.09563,0.74779,-0.33078
1.0932,-0.69493,0.23336,-0.400924
0.22127,0.06605,0.47628,-0.084717
0.49553,-0.40181,0.29527,-0.13994
0.40176,0.24613,-0.43402,-0.32612
-0.13789,0.61745,-0.08083,-0.084037
0.50793,-0.38653,0.31038,-0.148769
0.10225,0.92849,0.61875,-0.214349
0.88262,0.19401,0.46358,-0.477563
-0.41737,-0.40759,0.62662,0.394933
-0.633,1.10262,-0.69308,0.000825
0.0178,0.40365,0.98622,-0.000488
1.68554,2.32579,1.12603,-1.361875
0.49571,-0.17424,0.81209,-0.139118
0.57092,0.21348,1.44309,-0.205723
0.36689,0.01781,1.37192,-0.054679
0.39077,0.24117,0.51927,-0.215016
0.65099,-0.2012,1.77308,-0.112401
1.68348,0.93107,0.00204,-1.143653
-0.53921,0.55434,1.30818,0.301371
0.26062,-1.30112,0.16673,0.193011
0.36434,2.31391,-1.03782,-0.875052
-0.00542,-0.34494,1.37932,0.237292
1.26592,-0.17547,2.1164,-0.416259
0.2984,-0.38351,1.2282,0.06469
0.03262,-0.72024,2.87068,0.470511
0.62048,-1.04192,2.41497,0.178902
-0.27232,-0.43335,3.71377,0.658682
-0.15726,-0.11951,2.39275,0.375586
1.09749,-0.71983,3.00595,-0.094985
1.23997,0.75777,0.80072,-0.772774
0.7349,0.71678,1.04972,-0.46049
0.37385,1.5256,0.33052,-0.53913
-0.44114,0.86725,0.96709,0.134571
-0.75598,-0.83108,2.13831,0.847302
-0.71804,-0.03653,2.97295,0.724135
0.51263,0.44036,2.99077,-0.060515
1.35841,0.40804,2.21565,-0.597914
-0.00607,0.65175,-0.10612,-0.166961
0.26678,0.68795,1.54201,-0.144778
-0.53519,1.23021,0.1327,0.00648
0.27409,1.64991,-0.27943,-0.581535
1.30479,0.90917,0.15189,-0.915676
1.32464,0.87998,0.33392,-0.899542
-0.322,1.75862,0.00561,-0.252187
-0.35415,0.83095,1.93075,0.201056
-0.56001,-0.68043,2.79232,0.775141
2.33295,-0.32122,-0.08517,-1.202058
-0.95313,-0.67986,3.88423,1.108192
1.41084,0.67568,0.99217,-0.825007
0.31672,-0.84025,2.07418,0.258137
-1.04687,0.21427,-0.70512,0.441302
-0.04385,0.77157,2.31449,0.088292
0.8302,-1.01843,1.4786,-0.043138
1.40353,-0.11691,1.48701,-0.574091
-0.1682,-1.14034,1.30605,0.511668
0.31758,-0.37694,1.24907,0.054916
-0.38452,-0.15621,0.524,0.30464
-0.89754,0.51972,0.55228,0.422626
-0.38418,1.25946,2.42514,0.166963
-0.14727,1.08738,1.36405,-0.035863
-0.25841,1.69471,1.56606,-0.10118
-0.03328,0.37155,1.56365,0.098096
-0.50456,2.1766,2.34365,0.00034
-0.29572,0.83287,1.57803,0.13031
-0.31666,-0.23687,2.4022,0.492034
-0.9182,1.54807,2.00899,0.34226
-0.0211,0.43664,0.87404,0.000444
0.0956,1.09603,1.10985,-0.197993
-0.38221,1.73437,0.97157,-0.10819
-1.16742,0.6814,1.36628,0.619014
-0.27316,1.81378,0.12233,-0.279504
-0.39237,1.2858,1.62559,0.07786
-0.56336,1.64772,-0.09718,-0.104894
-0.76315,1.20733,1.52711,0.288234
-0.65365,1.26214,0.9459,0.151881
-1.24014,1.74322,3.08567,0.587492
-0.59545,1.08071,2.6483,0.349913
-0.2021,0.62624,0.66511,0.030112
-1.65622,1.66258,0.51418,0.553516
-0.6728,0.45035,0.81134,0.345317
