ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59152157,0.391689,0.007382,1.051436,0.692257,-0.024240,1.373309,0.329712,-0.561275,-0.581688,-0.836707,1.19666,-0.27805,-0.71832
59152158,0.310183,-0.731519,0.105523,0.996700,-0.024643,0.800953,-0.618527,0.567778,1.280679,-0.836707,0.17795,0.54055,-1.10841
59152159,1.178958,0.137776,-0.337607,0.068148,-0.023887,0.087046,0.008837,-0.893022,-0.581688,-0.836707,0.49217,-0.72082,-0.72947
59152160,1.079832,-1.166167,-0.695520,0.311703,-0.023836,-0.640537,0.134065,-1.272161,-0.581688,-0.011685,0.25159,-1.41085,-0.14013
59152163,0.873095,-0.383801,-0.397260,2.488471,-0.024240,-0.439152,0.524360,-1.272161,-0.581688,-0.836707,1.40535,-1.31214,-0.70085
59152164,1.006922,-0.661415,-0.542129,-0.007963,-0.023836,-0.801644,-0.054289,-0.397225,-0.581688,-0.836707,0.03353,-0.89504,-0.76796
59152165,0.944930,-0.163134,0.233349,0.753145,-0.023887,0.491571,0.151284,-0.798237,-0.581688,-0.836707,0.92156,-0.67246,-0.78712
59152166,0.526422,-0.687167,1.383784,0.890145,-0.023735,-0.092085,-0.401247,-0.640263,0.268298,-0.836707,0.70993,-0.30228,-0.79045
59152167,0.718056,-1.166167,0.795784,0.342147,-0.022979,-0.103511,-0.221792,-0.008364,-0.581688,0.375362,0.28059,-0.39646,-0.07292
59152169,0.906439,-0.607334,-0.686999,0.037704,-0.023634,-0.801644,0.643745,-1.272161,-0.581688,-0.836707,0.42867,-1.47079,-0.41956
59152170,-1.453509,-0.048502,0.344132,-0.510294,-0.023735,-0.545767,-0.041687,-0.561275,-0.581688,-0.836707,-0.36007,-0.46679,-0.21169
59152171,0.218296,0.911992,1.196306,1.544698,-0.023735,-1.043306,1.321005,-1.272161,-0.581688,-0.836707,1.68547,-0.92485,0.09284
59152172,0.672552,-0.607334,-0.269433,0.540035,-0.023887,-1.106901,1.994225,-0.459720,-0.581688,-0.836707,1.05964,-1.44799,-0.02601
59152173,0.846595,0.423013,-0.405781,0.448702,-0.023483,-1.008783,1.287094,-1.272161,-0.581688,-0.836707,0.96915,-1.30328,-0.06546
59152174,0.543419,0.189934,-0.567694,0.342147,-0.024139,-0.360349,0.964002,-0.513883,-0.581688,-0.836707,0.65486,-0.85531,-0.33489
59152175,-0.142093,0.485494,1.528654,1.225032,-0.024996,1.055333,0.299107,1.002673,0.498109,-0.836707,1.05449,0.92618,-0.67610
59152176,0.367085,0.366847,0.531610,0.555257,-0.024593,0.693636,0.300515,-0.238146,-0.581688,-0.836707,0.85483,-0.17985,-0.64086
59152177,0.636663,-0.003191,-0.482477,0.433480,-0.023483,0.037811,0.480469,-0.916718,-0.581688,-0.836707,0.64056,-0.90540,-0.54141
59152178,0.908758,0.631160,-0.073433,0.418258,-0.023634,0.037811,0.706873,-0.834693,-0.581688,0.024500,0.87443,-0.57923,0.20435
59152179,0.273926,0.659353,0.463436,0.981478,-0.023685,1.094469,0.409568,0.149610,-0.581688,0.068156,0.97315,0.21875,-0.05150
59152180,0.914499,0.510331,-0.797781,0.433480,-0.023130,-0.251656,0.497228,-0.798237,-0.581688,-0.168832,0.54983,-0.71339,-0.02672
59152181,0.223924,-0.277115,-0.840390,1.225032,-0.024794,0.087046,0.549654,0.040243,-0.581688,-0.836707,0.59572,-0.61378,-0.71212
59152182,0.530607,-0.007107,-0.567694,0.326925,-0.024139,0.337617,0.117368,-0.459720,-0.581688,-0.836707,0.38162,-0.56243,-0.73636
59152183,0.117558,0.313984,0.983263,1.940474,-0.024240,0.384694,0.909472,-0.834693,-0.581688,0.932259,1.54789,-0.41364,0.87090
59152184,0.727191,-0.552547,-0.618825,0.403036,-0.023836,0.108801,-0.292184,-0.834693,0.806622,1.407353,-0.04251,-0.20321,0.82281
59152185,0.981441,-0.501894,-0.098999,0.068148,-0.023685,-0.640537,-0.508774,-0.205833,-0.581688,-0.395658,-0.04869,-0.49937,-0.60399
59152186,1.271551,-0.323619,-0.686999,-0.281961,-0.023786,-0.103511,-0.387156,-0.496650,0.272657,0.889493,-0.21054,-0.22170,0.37003
59152187,-0.366760,0.789747,1.946219,2.564582,-0.024946,1.200694,0.015993,0.623534,1.626987,0.225821,1.42313,1.43732,0.07774
59152188,0.200620,0.471343,0.403784,0.281258,-0.023130,0.234048,0.183262,-0.397225,-0.581688,-0.401812,0.54847,-0.20924,-0.22409
59152189,0.627584,1.288313,0.165175,0.311703,-0.023685,0.419382,-0.103437,-0.324314,-0.581688,-0.286692,0.56221,0.15058,-0.25005
59152190,0.214761,0.488837,1.630915,1.970918,-0.023685,1.043771,-0.083616,-0.703453,-0.581688,-0.117457,1.53096,0.02437,-0.27811
59152191,1.041058,-0.413892,-0.925608,0.129037,-0.023987,1.248312,-0.279189,-0.755153,-0.581688,1.860481,0.10337,-0.33636,0.85563
59152192,0.585162,-0.711303,-0.090477,1.209810,-0.023937,-0.801644,-0.479554,-0.798237,1.071062,2.057418,0.01487,-0.11343,1.32303
59152193,0.055650,0.619668,2.662046,0.874923,-0.024189,-0.076660,-0.072562,-0.238146,-0.581688,0.789423,1.03763,0.37604,0.68217
59152194,0.662031,-1.166167,1.119610,0.798812,-0.023987,0.536788,-0.777438,0.278862,-0.581688,1.225848,0.27249,0.11856,0.21596
59152195,-0.841491,2.745661,4.017002,4.330352,-0.026308,0.648325,-0.520254,2.637710,-0.581688,-0.202792,2.18720,2.64912,-0.49284
59152196,0.785592,-0.037755,-0.047868,0.235592,-0.023332,0.165002,0.204581,-0.798237,-0.581688,0.574651,0.47863,-0.54927,0.36822
59152197,0.671194,0.175031,-0.712564,0.661812,-0.023735,0.013963,0.524360,-0.513883,0.575237,0.365468,0.46675,-0.25444,0.36465
59152198,0.379048,0.839899,-0.133086,1.970918,-0.023786,0.970540,0.019092,-0.893022,-0.581688,0.242168,1.16921,-0.19162,-0.03141
59152199,0.365190,0.198424,0.489002,2.184028,-0.023887,1.564094,0.159111,-0.459720,-0.581688,0.576703,1.41476,-0.02920,0.05433
59152200,0.655215,0.246438,-0.985260,2.412360,-0.023685,0.384694,0.103454,-0.798237,-0.581688,0.981397,0.96561,-0.50619,0.38723
59152201,0.129861,1.339161,0.088480,-0.434183,-0.024845,0.800953,-0.470510,0.149610,-0.581688,-0.836707,0.04845,0.50167,-0.72284
59152202,-0.654354,1.293543,2.926220,3.645355,-0.025248,0.648325,-0.262224,2.925449,0.785587,-0.836707,1.60879,2.39647,-1.00023
59152203,-0.092657,0.279509,0.105523,1.514253,-0.025198,-0.180229,-0.402440,1.002673,0.343852,-0.836707,0.26478,0.60948,-0.89017
59152204,0.297512,-1.166167,0.054393,0.814034,-0.024845,0.648325,-0.404811,0.523760,0.486243,-0.836707,0.17291,0.07536,-1.11213
59152205,0.184302,2.109989,0.855436,0.357369,-0.023433,0.285832,-0.052212,0.386572,-0.581688,-0.310756,0.62048,0.81872,-0.11318
59152206,-0.012140,-0.178715,0.190741,-0.281961,-0.025299,0.648325,-0.119687,1.977602,-0.581688,-0.836707,-0.20668,0.73393,-0.99451
59152207,0.667178,-0.079548,0.079958,0.844478,-0.023735,0.099688,1.254174,-0.834693,-0.581688,-0.836707,1.26446,-1.02066,-0.33034
59152208,0.472998,-0.048502,0.114045,0.707479,-0.023130,-0.054691,0.710899,-0.798237,1.798273,-0.836707,0.77867,-0.19486,-0.25450
59152209,0.546360,-0.617138,0.310045,-0.251517,-0.024593,0.384694,0.337822,-0.074880,-0.581688,0.065510,0.31652,-0.40312,-0.04227
59152210,1.033167,0.256316,-0.090477,0.677035,-0.023836,-0.020892,1.457051,-0.640263,-0.581688,-0.836707,1.31264,-0.93677,-0.28005
59152211,1.160151,-0.296872,-1.419868,1.240254,-0.023735,-0.180229,1.270513,-0.640263,-0.581688,-0.836707,1.03543,-1.28968,-0.53923
59152212,0.896568,0.534628,0.685002,0.524813,-0.023987,-0.251656,2.211921,-1.272161,-0.581688,-0.836707,1.83586,-1.25024,0.19332
59152213,0.950246,-0.833245,-0.908564,-0.434183,-0.024441,0.384694,0.469090,-1.272161,-0.581688,-0.836707,0.32883,-1.33913,-0.64050
59152214,0.812856,0.137776,0.540132,0.463924,-0.023634,-0.343759,2.158790,-0.893022,-0.581688,-0.836707,1.62128,-1.22274,0.10192
59152217,-0.055354,2.212230,1.162219,1.164144,-0.023836,1.507565,1.787081,-0.374200,-0.581688,-0.553366,2.08788,0.22432,0.23077
59152218,0.775100,1.595123,0.650915,0.661812,-0.024290,-0.848417,1.523556,-1.272161,-0.581688,-0.286692,1.49599,-0.75067,0.58402
59152219,0.370733,1.180930,0.846915,1.712141,-0.023685,-0.380686,1.496413,-0.755153,-0.581688,-0.836707,1.82758,-0.60745,-0.03156
59152220,0.536320,0.047849,-0.559173,0.951033,-0.024240,-0.801644,2.097331,-1.272161,-0.581688,-0.836707,1.38440,-1.61978,0.11549
59152221,0.488327,0.324053,-0.226825,1.605586,-0.023584,-0.640537,2.236585,-1.272161,-0.581688,-0.836707,1.80774,-1.50541,0.13503
59152222,0.761864,0.194469,-0.081955,1.088033,-0.023685,-0.751645,1.314405,-0.640263,-0.581688,-0.836707,1.20004,-1.02299,-0.23152
