ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59153026,-2.227249,3.264436,1.115022,-1.484807,-1.721158,-1.964099,-0.941087,3.678701,-0.811144,1.862415,0.710307,-0.968964,-0.89131,2.23163,-1.88286
59153027,-0.003553,-0.548596,-0.347056,-0.404841,-0.842691,-0.40023,-0.477058,-0.401424,-0.811144,-0.99695,0.224447,-0.703108,-0.81127,-0.42901,-0.59331
59153028,0.214185,-0.214589,0.02094,0.045145,-1.135513,-0.190296,-0.635726,-1.567173,-0.811144,-0.99695,-1.024909,-0.657271,-0.72412,-0.79523,-0.42608
59153032,1.243482,-0.457323,-1.243168,-0.697332,-1.062308,0.103057,-0.642154,-1.567173,-0.811144,0.718669,-1.024909,-0.968964,-1.4018,-0.79021,-0.40811
59153033,0.777859,0.116671,-0.879486,-0.352343,-0.897595,0.120306,-0.512967,-0.181471,-0.079436,-0.99695,-0.467161,-0.968964,-0.40904,-1.12605,-0.28849
59153034,0.878375,-0.576905,-1.034284,0.240139,-1.044006,0.053441,-0.193755,-1.042586,0.679015,-0.99695,-0.22404,-0.968964,-0.14952,-1.35025,-0.14488
59153035,0.036901,-0.147549,-1.034284,0.345136,-0.110634,-0.234852,-0.479321,-1.567173,-0.021931,-0.99695,-1.024909,-0.968964,-0.08775,-1.4636,-0.69828
59153036,0.79788,-0.186271,-0.809845,0.007646,-1.153815,0.13562,0.734607,-0.591197,-0.610164,0.432732,-1.024909,-0.968964,-0.62624,-0.5914,-0.39753
59153037,0.899042,0.511847,-1.064125,0.000146,-0.604772,0.232705,0.364596,-0.683658,0.30464,-0.99695,-1.024909,-0.968964,0.1924,-1.57092,-0.18112
59153038,0.258102,-0.726291,-0.924947,-0.299844,-1.044006,-0.102864,0.141371,-0.343136,-0.230736,-0.99695,-0.536879,-0.968964,-0.50414,-1.08679,-0.59502
59153039,-0.543243,-0.40774,-0.381522,1.087612,-0.293648,-0.403383,0.995181,0.145765,0.945419,-0.99695,-1.024909,-0.968964,0.8765,-1.10443,-0.79832
59153040,0.217942,0.072773,-1.026507,-0.397341,-0.806088,-0.351267,0.368068,-0.193254,-0.296622,-0.192754,-0.360358,-0.968964,-0.44456,-0.7228,-0.70274
59153041,0.518201,-1.270481,-0.370332,-1.484807,1.682904,1.406112,-0.941087,-1.567173,-0.811144,-0.99695,-1.024909,-0.646139,-0.55044,-1.46201,-0.0455
59153042,-0.497769,1.873729,-1.243168,0.247639,0.712929,-0.341187,-0.941087,-0.068352,0.104641,-0.99695,-1.024909,-0.968964,0.56058,-1.35961,-0.8778
59153043,0.232973,-0.356466,-1.078037,-0.644833,-0.787786,-0.263305,-0.941087,-0.343136,-0.811144,0.308412,0.686537,-0.845141,-1.25193,-0.05923,-0.59083
59153044,0.419357,-0.147549,-1.243168,-1.484807,-0.915896,-0.46193,-0.614666,0.241749,-0.811144,-0.99695,0.016221,-0.968964,-1.09872,-0.92007,-0.81123
59153045,-0.245421,0.762413,0.386127,-0.554836,-0.147237,-0.432583,-0.941087,1.49292,-0.447574,0.075311,1.731023,-0.57018,-0.47088,0.91107,-0.39866
59153046,-0.228247,-0.19315,-0.340715,-0.494838,-0.238744,-0.819238,-0.427859,0.252824,-0.811144,0.698719,-0.463821,-0.968964,-0.87898,0.09092,-1.19945
59153047,-0.181541,-0.457323,-0.309718,0.075144,-0.330251,-0.866198,-0.067284,1.661057,-0.811144,3.292097,-0.374203,-0.968964,-1.16938,1.49515,-1.3274
59153049,0.955935,-1.270481,-0.70007,-0.944824,-0.421758,1.281507,-0.470912,-0.950012,-0.811144,-0.69059,-0.504344,-0.215706,-0.95113,-0.89154,0.45554
59153050,0.186677,-1.270481,-0.720958,0.067644,0.035777,-0.442592,-0.614666,-0.692861,-0.075741,0.375545,-0.22404,-0.968964,-0.66808,-0.42784,-0.84448
59153051,-0.010217,-0.029345,-1.243168,-0.772329,-0.751184,-0.431554,0.89647,-0.198685,-0.811144,-0.99695,-1.024909,-0.968964,-0.43552,-1.25584,-0.96503
