ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
59150601,-0.286902,-0.016142,1.076314,-0.059852,-0.989102,0.777438,-0.215575,-0.43293,-0.811144,1.147573,-0.365038,1.29081,-0.68828,1.51581,1.08016,-0.14716
59150602,1.395666,-1.270481,1.375341,-0.322343,-1.629651,3.015525,-0.603008,-0.567959,-0.811144,2.219835,-1.024909,2.889188,-1.17795,2.32617,3.32119,-0.68823
59150603,0.020314,-1.270481,1.200774,-0.502338,-0.586471,2.325372,-0.603008,-1.567173,-0.811144,-0.99695,2.178567,2.391726,-0.60027,0.26395,2.65375,1.2749
59150604,0.013445,0.69465,0.79345,-0.11235,-0.275347,0.181127,-0.941087,0.681058,-0.811144,-0.99695,0.797068,0.838855,-0.28031,-0.28688,0.60795,1.44497
59150605,0.018905,-0.533557,0.405523,-0.899825,-1.428336,0.414513,-0.629015,-0.462779,-0.811144,3.292097,-1.024909,1.183202,-1.71519,2.22855,0.75734,-0.63088
59150606,0.582785,-0.002654,0.157007,-0.382342,-1.09891,0.307074,-0.008286,-0.255705,-0.811144,0.075311,-0.04885,1.008339,-0.65738,0.52472,0.88235,-0.12896
59150607,0.318429,-1.270481,0.839737,-0.11235,-1.263623,0.555428,-0.335019,0.089418,-0.811144,1.576478,0.231627,0.417716,-1.3117,1.56377,0.64674,-0.06499
59150608,0.254256,-0.728376,0.34794,0.405134,-0.714581,0.377389,0.848741,-0.613378,-0.811144,0.562703,-0.292865,1.361428,-0.34118,1.25986,1.02052,-0.64873
59150609,0.108208,-0.165095,1.509019,-0.209847,-1.025705,0.727791,-0.618376,-0.567959,-0.811144,-0.99695,2.262869,2.206935,-0.57862,0.43952,1.95889,1.74047
59150610,-0.372388,-0.029345,0.613749,0.112643,-1.208719,-0.103089,-0.710204,-1.567173,-0.811144,1.147573,-0.106265,1.157882,-0.99824,1.38136,0.66985,-0.27124
59150611,0.086043,0.337354,1.536978,0.097643,-0.549868,0.657258,-0.941087,2.039365,-0.431952,-0.192754,0.710307,1.714518,-0.23069,0.46239,1.3241,1.93914
59150612,0.032996,-1.270481,1.35677,0.180141,-1.172116,0.807581,-0.361524,-0.13648,-0.811144,-0.99695,0.304193,1.627373,-0.53963,0.58173,1.3727,0.41339
59150613,1.381986,-0.386172,1.200774,0.937617,-1.300226,1.302862,-0.941087,-1.567173,-0.811144,1.415639,-0.544388,0.421666,-0.92326,1.75635,1.45723,-1.09566
59150614,0.387359,-0.307968,1.238961,0.112643,-0.952499,0.251893,-0.591924,-0.790007,-0.811144,1.862415,0.897177,1.220192,-1.15277,1.86306,1.15949,0.43277
59150615,-0.056424,0.798078,1.183441,0.705124,-0.366854,0.902186,-0.45702,-0.308164,-0.811144,-0.99695,0.304193,0.858088,0.15857,0.26538,1.07216,0.4925
59150616,-0.419094,0.758041,2.222123,0.697624,-1.428336,-0.032714,-0.557322,-1.567173,-0.811144,0.841213,1.772156,0.380155,-0.78645,1.90849,0.78752,0.53197
59150617,-0.83352,-1.270481,1.840854,-0.059852,-1.080609,-0.716698,-0.39496,-0.401424,-0.811144,0,-0.132512,-0.117455,-0.98863,1.13582,-0.482,-0.13433
59150618,-0.784817,-0.789224,1.314446,0.090144,-0.385155,-0.852631,-0.713898,1.77111,-0.811144,1.147573,-0.298539,-0.390882,-1.00496,1.11697,-0.93173,0.77792
59150619,-0.173439,-0.076477,1.493538,0.105143,-0.714581,-0.118528,0.429021,0.306353,-0.811144,0.718669,-0.536879,-0.333403,-0.48181,1.39238,-0.18337,-0.51395
59150620,-0.79292,-1.270481,2.171163,0.817621,-1.117212,-0.758365,-0.39496,0.531176,-0.496991,2.475136,2.879328,-0.051954,-1.4352,2.56254,-0.00913,1.67347
59150621,-0.724196,0.367128,1.647516,0.21014,-1.300226,-0.626906,-0.483045,-0.255705,-0.463211,3.292097,-0.000847,0.290582,-1.22283,2.77822,-0.00262,-0.06149
59150622,-0.017318,0.000315,0.159949,-0.009344,-0.011557,-0.015272,0.073781,0.007786,0.015863,0.13304,0.018189,-0.119297,-0.01214,0.13756,-0.05159,-0.05104
59150623,-0.556864,0.344695,1.795596,-0.277345,-0.751184,-0.562212,-0.177684,0.641616,-0.811144,0.718669,1.206083,0.465813,-0.77181,1.28884,0.12095,1.19509
59150624,-0.747593,-0.774027,1.811759,-0.487338,-1.35513,-0.937122,-0.691977,-1.567173,-0.811144,2.219835,1.029952,0.204945,-1.75482,2.25577,-0.13103,0.14939
59150625,-0.543331,-0.541154,2.03805,-0.277345,-1.35513,-0.085716,-0.18041,-0.790007,-0.811144,1.453934,-0.374203,0.223695,-1.12252,2.07207,0.16551,-0.5803
59150626,-0.597083,-0.418135,1.267731,0.472632,-0.732882,-0.542179,-0.4638,1.169804,-0.53923,2.122357,1.756191,0.021622,-1.09969,1.79308,-0.1034,1.47306
59150627,-0.080437,-1.270481,0.652994,-0.674832,-0.9708,-0.533233,0.172584,0.375743,-0.811144,1.683704,0.859895,0.355731,-1.41955,1.47103,-0.01432,0.41702
59150628,-0.422676,0.901506,1.142585,0.51013,-1.025705,-0.457576,-0.941087,-0.517999,-0.811144,1.862415,0.090587,-0.323314,-0.98445,1.69365,-0.20659,0.03257
59150629,-0.75232,0.355834,1.635253,0.53263,-1.391733,-0.573878,-0.020762,-0.401424,-0.811144,3.292097,-0.608457,-0.306097,-1.17698,3.02024,-0.3378,-0.8186
59150630,-0.326122,-0.081494,1.066399,0.405134,-1.281924,-0.048709,-0.651305,-0.120036,-0.591023,-0.99695,-0.541911,-0.138843,-0.37252,0.2659,-0.04899,-0.27024
59150631,-0.216475,-0.447868,-0.200022,-0.43484,-0.403457,-0.319486,-0.246016,-0.738878,-0.584866,0.228492,-0.644008,-0.64225,-0.69436,0.13351,-0.6536,-0.72178
59150632,-0.226545,0.039607,0.903964,0.142642,-1.336829,-0.269241,-0.186535,-0.098329,-0.500012,3.015384,0.176395,-0.829901,-1.28193,2.28172,-0.35814,-0.46468
59150633,-0.35859,-1.270481,0.696468,-0.607335,-1.281924,-0.477297,-0.210241,0.727897,-0.454257,1.004605,0.834251,-0.42444,-1.30661,0.96865,-0.44166,0.44471
59150634,-0.183449,-1.270481,1.452356,-0.322343,-1.373431,-0.725227,-0.389658,-1.567173,-0.811144,2.219835,-0.345911,1.29081,-1.56995,2.37121,0.47366,-0.60814
